YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2012,1,AK,Total Electric Power Industry,Coal (Short Tons),"46,749"
2012,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"4,097,521"
2012,1,AK,Total Electric Power Industry,Other Gases (Billion Btu),4
2012,1,AK,Total Electric Power Industry,Petroleum (Barrels),"148,801"
2012,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"18,469"
2012,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,032,914"
2012,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"137,170"
2012,1,AK,"Combined Heat and Power, Industrial Pow",Natural Gas (Mcf),"64,607"
2012,1,AK,"Combined Heat and Power, Industrial Pow",Other Gases (Billion Btu),4
2012,1,AK,"Combined Heat and Power, Industrial Pow",Petroleum (Barrels),"9,563"
2012,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"18,286"
2012,1,AK,"Combined Heat and Power, Commercial Pow",Coal (Short Tons),"9,994"
2012,1,AK,"Combined Heat and Power, Commercial Pow",Natural Gas (Mcf),0
2012,1,AK,"Combined Heat and Power, Commercial Pow",Petroleum (Barrels),"2,068"
2012,1,AL,Total Electric Power Industry,Coal (Short Tons),"1,593,792"
2012,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"33,438,569"
2012,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),690
2012,1,AL,Total Electric Power Industry,Petroleum (Barrels),"22,668"
2012,1,AL,"Electric Generators, Independent Power",Natural Gas (Mcf),"20,767,194"
2012,1,AL,"Electric Generators, Independent Power",Petroleum (Barrels),302
2012,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,587,499"
2012,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"10,484,939"
2012,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"10,379"
2012,1,AL,"Combined Heat and Power, Industrial Pow",Coal (Short Tons),"4,828"
2012,1,AL,"Combined Heat and Power, Industrial Pow",Natural Gas (Mcf),"655,153"
2012,1,AL,"Combined Heat and Power, Industrial Pow",Other Gases (Billion Btu),690
2012,1,AL,"Combined Heat and Power, Industrial Pow",Petroleum (Barrels),"11,987"
2012,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,465"
2012,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,531,283"
2012,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,634,115"
2012,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"9,394,981"
2012,1,AR,Total Electric Power Industry,Petroleum (Barrels),"5,469"
2012,1,AR,"Electric Generators, Independent Power",Coal (Short Tons),"236,011"
2012,1,AR,"Electric Generators, Independent Power",Natural Gas (Mcf),"7,688,591"
2012,1,AR,"Electric Generators, Independent Power",Petroleum (Barrels),"1,545"
2012,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,395,266"
2012,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"885,070"
2012,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,578"
2012,1,AR,"Combined Heat and Power, Industrial Pow",Coal (Short Tons),"2,838"
2012,1,AR,"Combined Heat and Power, Industrial Pow",Natural Gas (Mcf),"147,349"
2012,1,AR,"Combined Heat and Power, Industrial Pow",Petroleum (Barrels),346
2012,1,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"673,438"
2012,1,AR,"Combined Heat and Power, Commercial Pow",Natural Gas (Mcf),533
2012,1,AZ,Total Electric Power Industry,Coal (Short Tons),"2,002,928"
2012,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"13,190,558"
2012,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"3,894"
2012,1,AZ,"Electric Generators, Independent Power",Natural Gas (Mcf),"7,959,931"
2012,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,996,691"
2012,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,165,614"
2012,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,864"
2012,1,AZ,"Combined Heat and Power, Industrial Pow",Coal (Short Tons),"6,237"
2012,1,AZ,"Combined Heat and Power, Industrial Pow",Natural Gas (Mcf),0
2012,1,AZ,"Combined Heat and Power, Industrial Pow",Petroleum (Barrels),24
2012,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
2012,1,AZ,"Combined Heat and Power, Commercial Pow",Natural Gas (Mcf),"65,013"
2012,1,AZ,"Combined Heat and Power, Commercial Pow",Petroleum (Barrels),6
2012,1,CA,Total Electric Power Industry,Coal (Short Tons),"54,142"
2012,1,CA,Total Electric Power Industry,Geothermal (Billion Btu),"9,750"
2012,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"68,112,264"
2012,1,CA,Total Electric Power Industry,Other Gases (Billion Btu),"1,054"
2012,1,CA,Total Electric Power Industry,Petroleum (Barrels),"126,235"
2012,1,CA,"Electric Generators, Independent Power",Coal (Short Tons),0
2012,1,CA,"Electric Generators, Independent Power",Geothermal (Billion Btu),"9,052"
2012,1,CA,"Electric Generators, Independent Power",Natural Gas (Mcf),"30,512,534"
2012,1,CA,"Electric Generators, Independent Power",Petroleum (Barrels),"110,345"
2012,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),698
2012,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"21,187,088"
2012,1,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),0
2012,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,144"
2012,1,CA,"Combined Heat and Power, Industrial Pow",Coal (Short Tons),"6,476"
2012,1,CA,"Combined Heat and Power, Industrial Pow",Natural Gas (Mcf),"5,851,162"
2012,1,CA,"Combined Heat and Power, Industrial Pow",Other Gases (Billion Btu),"1,054"
2012,1,CA,"Combined Heat and Power, Industrial Pow",Petroleum (Barrels),189
2012,1,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"47,666"
2012,1,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"9,276,986"
2012,1,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"11,485"
2012,1,CA,"Combined Heat and Power, Commercial Pow",Natural Gas (Mcf),"1,284,494"
2012,1,CA,"Combined Heat and Power, Commercial Pow",Other Gases (Billion Btu),0
2012,1,CA,"Combined Heat and Power, Commercial Pow",Petroleum (Barrels),72
2012,1,CO,Total Electric Power Industry,Coal (Short Tons),"1,555,735"
2012,1,CO,Total Electric Power Industry,Natural Gas (Mcf),"6,773,265"
2012,1,CO,Total Electric Power Industry,Petroleum (Barrels),"2,174"
2012,1,CO,"Electric Generators, Independent Power",Natural Gas (Mcf),"2,482,806"
2012,1,CO,"Electric Generators, Independent Power",Petroleum (Barrels),133
