YEAR,MONTH,STATE_CODE,SECTOR_NAME,ENERGY SOURCE              (UNITS),CONSUMPTION,order1,order2
2013,1,AK,Total Electric Power Industry,Coal (Short Tons),"43,383",,
2013,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"3,791,973",,
2013,1,AK,Total Electric Power Industry,Other Gases (Billion Btu),4,,
2013,1,AK,Total Electric Power Industry,Petroleum (Barrels),"129,384",,
2013,1,AK,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),0,,
2013,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,719",,
2013,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,715,144",,
2013,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"123,056",,
2013,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"74,150",,
2013,1,AK,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),4,,
2013,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"6,076",,
2013,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"18,074",,
2013,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"9,590",,
2013,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,679",,
2013,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),252,,
2013,1,AL,Total Electric Power Industry,Coal (Short Tons),"1,860,220",,
2013,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"27,343,483",,
2013,1,AL,Total Electric Power Industry,Other Gases (Billion Btu),598,,
2013,1,AL,Total Electric Power Industry,Petroleum (Barrels),"18,801",,
2013,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"14,634,458",,
2013,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),99,,
2013,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,855,788",,
2013,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,945,812",,
2013,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,962",,
2013,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,432",,
2013,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"918,075",,
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),598,,
2013,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"2,740",,
2013,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),0,,
2013,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"2,845,138",,
2013,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,599,419",,
2013,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"8,964,559",,
2013,1,AR,Total Electric Power Industry,Petroleum (Barrels),"5,235",,
2013,1,AR,"Electric Generators, Independent Power Producers",Coal (Short Tons),"99,853",,
2013,1,AR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"7,604,616",,
2013,1,AR,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,981",,
2013,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,496,896",,
2013,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"465,927",,
2013,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,137",,
2013,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,670",,
2013,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"162,985",,
2013,1,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),117,,
2013,1,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"730,395",,
2013,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),636,,
2013,1,AZ,Total Electric Power Industry,Coal (Short Tons),"2,007,232",,
2013,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"10,740,746",,
2013,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"6,891",,
2013,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"4,992,898",,
2013,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,004,789",,
2013,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"5,614,168",,
2013,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"6,748",,
2013,1,AZ,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,443",,
2013,1,AZ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,890",,
2013,1,AZ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),129,,
2013,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"75,454",,
2013,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"51,336",,
2013,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),14,,
2013,1,CA,Total Electric Power Industry,Coal (Short Tons),"32,547",,
2013,1,CA,Total Electric Power Industry,Geothermal (Billion Btu),"10,826",,
2013,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"68,833,752",,
2013,1,CA,Total Electric Power Industry,Other Gases (Billion Btu),772,,
2013,1,CA,Total Electric Power Industry,Petroleum (Barrels),"12,113",,
2013,1,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"10,108",,
2013,1,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"28,312,194",,
2013,1,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),7,,
2013,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion Btu),718,,
2013,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"23,098,648",,
2013,1,CA,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),46,,
2013,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"4,712",,
